legislator_id,office_type,label,address,phone,email,contact_form_url
ASM_01,capitol,Sacramento,"1021 O Street, Suite 5710 Sacramento, CA 95814",(916) 319-2001,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD01&inframe=N
ASM_01,capitol,Sacramento,"P.O. Box 942849 Sacramento, CA 94249-0001",,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD01&inframe=N
ASM_01,district,Jackson,"810 Court Street, Second Floor Jackson, CA 95642",(530) 265-0601,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD01&inframe=N
ASM_01,district,Redding,"930 Executive, Way Suite 201 Redding, CA 96002",(530) 223-6300,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD01&inframe=N
ASM_02,capitol,Sacramento,"P.O. Box 942849 Sacramento, CA 94249-0002",,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD02&inframe=N
ASM_02,capitol,Sacramento,"1021 O Street, Suite 5130 Sacramento, CA 95814",(916) 319-2002,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD02&inframe=N
ASM_02,district,Santa Rosa,"50 D Street, Suite 450 Santa Rosa, CA 95404",(707) 576-2526,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD02&inframe=N
ASM_02,district,Ukiah,"200 South School Street, Suite D Ukiah, CA 95482",(707) 463-5770,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD02&inframe=N
ASM_02,district,Eureka,"1036 5th Street, Suite D Eureka, CA 95501",(707) 445-7014,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD02&inframe=N
ASM_03,capitol,Sacramento,"P.O. Box 942849 Sacramento, CA 94249-0003",,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD03&inframe=N
ASM_03,capitol,Sacramento,"1021 O Street, Suite 4730 Sacramento, CA 95814",(916) 319-2003,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD03&inframe=N
ASM_03,district,Chico,"2060 Talbert Drive, Suite 110 Chico, CA 95928",(530) 895-4217,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD03&inframe=N
ASM_03,district,Yuba City,"1130 Civic Center Boulevard, 1st Floor Yuba City, CA 95993",(530) 671-0303,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD03&inframe=N
ASM_04,capitol,Sacramento,"1021 O Street, Suite 8210 Sacramento, CA 95814",(916) 319-2004,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD04&inframe=N
ASM_04,capitol,Sacramento,"P.O. Box 942849 Sacramento, CA 94249-0004",,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD04&inframe=N
ASM_04,district,Davis,"600 A Street, Suite D Davis, CA 95616",(530) 757-1034,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD04&inframe=N
ASM_04,district,Napa,"2721 Napa Valley Corporate Drive Napa, CA 94558",(707) 224-0440,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD04&inframe=N
ASM_05,capitol,Sacramento,"1021 O Street, Suite 4530 Sacramento, CA 95814",(916) 319-2005,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD05&inframe=N
ASM_05,capitol,Sacramento,"P.O. Box 942849 Sacramento, CA 94249-0005",,,https://lcmspubcontact.lc.ca.gov/PublicLCMS/ContactPopup.php?district=AD05&inframe=N
