unit_id,unit_name,unit_type,county_name,assigned_wda_id,rule_id,rule_source_note
U000001,Loyalton,city,Sierra,WDA_017,R0072,"All cities in the counties of Butte , Del Norte , Lassen , Modoc , Nevada , Plumas , Shasta , Sierra , Siskiyou , Tehama , and Trinity and all unincorporated areas of these counties."
U000002,Sierra Unincorporated,county_unincorporated,Sierra,WDA_017,R0072,"All cities in the counties of Butte , Del Norte , Lassen , Modoc , Nevada , Plumas , Shasta , Sierra , Siskiyou , Tehama , and Trinity and all unincorporated areas of these counties."
U000003,Folsom,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000004,Isleton,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000005,Rancho Cordova,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000006,Citrus Heights,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000007,Elk Grove,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000008,Galt,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000009,Sacramento,city,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000010,Sacramento Unincorporated,county_unincorporated,Sacramento,WDA_026,R0103,All cities in the County of Sacramento and all unincorporated areas of the county.
U000011,Buellton,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000012,Carpinteria,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000013,Guadalupe,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000014,Solvang,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000015,Goleta,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000016,Lompoc,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000017,Santa Barbara,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000018,Santa Maria,city,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000019,Santa Barbara Unincorporated,county_unincorporated,Santa Barbara,WDA_035,R0119,All cities in the County of Santa Barbara and all unincorporated areas of the county.
U000020,Angels,city,Calaveras,WDA_016,R0062,"All cities in the counties of Amador , Calaveras , Mariposa , and Tuolumne and all unincorporated areas of these counties."
U000021,Calaveras Unincorporated,county_unincorporated,Calaveras,WDA_016,R0062,"All cities in the counties of Amador , Calaveras , Mariposa , and Tuolumne and all unincorporated areas of these counties."
U000022,Ventura,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000023,Moorpark,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000024,Camarillo,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000025,Fillmore,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000026,Oxnard,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000027,Port Hueneme,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000028,Ojai,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000029,Simi Valley,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000030,Thousand Oaks,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000031,Santa Paula,city,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000032,Ventura Unincorporated,county_unincorporated,Ventura,WDA_043,R0141,All cities in the County of Ventura and all unincorporated areas of the county.
U000033,Agoura Hills,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
U000034,Artesia,city,Los Angeles,WDA_040,R0132,"Cities of Artesia, Bellflower, Cerritos, Downey, Hawaiian Gardens, Lakewood, and Norwalk in the County of Los Angeles ."
U000035,Avalon,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
U000036,Bellflower,city,Los Angeles,WDA_040,R0133,"Cities of Artesia, Bellflower, Cerritos, Downey, Hawaiian Gardens, Lakewood, and Norwalk in the County of Los Angeles ."
U000037,Bell Gardens,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
U000038,Claremont,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
U000039,Commerce,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
U000040,Cudahy,city,Los Angeles,WDA_012,R0029,"All cities and unincorporated areas of the County of Los Angeles , excluding the cities of Arcadia, Artesia, Bellflower, Burbank, Carson, Cerritos, Downey, Duarte, El Segundo, Gardena, Glendale, Hawaiian Gardens, Hawthorne, Hermosa Beach, Inglewood, La Canada-Flintridge, Lakewood, Lawndale, Lomita, Long Beach, Los Angeles, Manhattan Beach, Monrovia, Norwalk, Pasadena, Redondo Beach, Sierra Madre, South Pasadena, and Torrance."
