wda_id,organization_name,executive_name,title,email,phone
WDA_001,Alameda County Workforce Development Board,Rhonda Boykin,Director,,1-510-259-3843
WDA_002,City of Anaheim - Workforce Development Division,Marco Lucero,Workforce Development Manager,,1-714-765-4342
WDA_003,Workforce Development Board of Contra Costa County,Tamia Brown,Executive Director,,1-925-641-4514
WDA_004,Foothill Employment and Training Consortium,Michael Trogan,Acting Administrator,,1-626-584-8395
WDA_005,Fresno Regional Workforce Development Board,Blake G. Konczal,Executive Officer Fresno Area Workforce Development Board,,1-559-490-7101
WDA_006,Golden Sierra Job Training Agency,Jason Buckingham,Executive Director Golden Sierra Job Training Agency,,1-916-773-8540 ext. 204
WDA_007,Humboldt County,Peggy Murphy,Program Manager,,1-707-476-4803
WDA_008,Imperial County Workforce and Economic Development,Priscilla Lopez,Director Imperial County Workforce and Economic Development Office,,1-442-265-4968
WDA_009,Kern/Inyo/Mono Consortium,Brandon Evans,Chief Workforce Development Officer,,1-661-336-6957
WDA_010,Kings County Job Training Office,Julieta Martinez,Director Kings County Job Training Office,,1-559-852-4960
WDA_011,Economic and Workforce Development Department City of Los Angeles,Gerardo Ruvalcaba,Assistant General Manager Economic & Workforce Development Department,,1-213-281-2404
WDA_012,County of Los Angeles Department of Economic Opportunity,Kelly LoBianco,Director Workforce Development Branch,,1-213-738-2496
WDA_013,Madera County Workforce Investment Corporation,Maiknue Vang,Executive Director Madera County Workforce Investment Corporation,,1-559-662-4503
WDA_014,Merced County Department of Workforce Investment,Erick Serrato,Director,,1-209-724-2041
WDA_015,Monterey County Workforce Development Board,Chris Donnelly,Executive Director,,1-831-759-6644
WDA_016,Mother Lode Consortium (MLC) dba Mother Lode Job Training,David Thoeny,Executive Director,,1-209-533-3396
WDA_017,NoRTEC (Northern Rural Training and Employment Consortium),Andrea Campos,Interim Executive Director,,1-530-892-9600
WDA_018,North Central Counties Consortium,Elizabeth Barber,Executive Director,,1-530-751-8207
WDA_019,Workforce Alliance of the North Bay,Bruce Wilson,Executive Director,,1-707-247-829
WDA_020,NOVA,Marlena Sessions,Director,,1-408-730-7232
WDA_021,City of Oakland,Sofia Navarro,Executive Director Oakland Workforce Development Board Community and Economic Development Agency,,1-510-238-3474
WDA_022,"County of Orange, Orange County Workforce Development Board",Nancy Cook,Director Orange County Workforce Development Board,,1-714-480-6420
WDA_023,"City of Long Beach, Pacific Gateway Workforce Innovation Network",Jaime Gutierrez,"Executive Director City of Long Beach, Eco. Dev. Dept., Long Beach Workforce Innov. Network (LBWIN)",,1-562-570-3701
WDA_024,Richmond Workforce Development Board,Tamara Walker,Deputy Director of Community Services City of Richmond Employment and Training,,1-510 307-8006
WDA_025,Riverside County Workforce Development Division,Stephanie Adams,Deputy Director Workforce Development Agency/Workforce Development Division,,1-951-955-3075
WDA_026,Sacramento Employment and Training Agency,Sacramento Employment and Training Agency Anita Maldonado,Executive Director,,1-916-263-3810
WDA_027,San Benito County Workforce Development Board,Enrique Arreola,Deputy Director,,1-831-634-4918
WDA_028,"San Bernardino County Workforce Development Department, Workforce Development Board",Bradley Gates,Director,,1-909-387-9862
WDA_029,San Diego Workforce Partnership Inc.,Rachel Bereza,President and CEO,,1-619-228-2900
WDA_030,Office of Economic and Workforce Development,Anne Taupier,"Executive Director, OEWD 1 South Van Ness Avenue, 5th Floor San Francisco, CA",,1-415-554-6969
WDA_031,San Joaquin County Employment and Economic Development Department,Tina LaBounty,Deputy Director Employment and Economic Development Department,,1-209-468-3537
WDA_032,San Jose Silicon Valley Workforce Development Board,Sangeeta Durral,Director San Jose Silicon Valley - work2future,,1-408-314-9444
WDA_033,Workforce Development Board of San Luis Obispo County,Dawn Boulanger,Workforce Development Board Director San Luis Obispo County Department of Social Services,,1-805-781-1825
WDA_034,City of Santa Ana,Deborah Sanchez,Economic Development Specialist III Santa Ana Workforce Development Board,,1-714-565-2621
WDA_035,County of Santa Barbara,Luis Servin,Director,,1-805-614-1543
WDA_036,Santa Cruz County Workforce Development Board,Andy Stone,WDB Director,,1-831-763-8824
WDA_037,"South Bay Workforce Investment Board, Inc.",Jan Vogel,Chief Executive Officer,,1-310-970-7700
WDA_038,Workforce Development Board of Solano County,Marion Aiken,Interim Executive Director,,1-707-863-3594
WDA_039,Sonoma County Workforce Investment Board,Charity Doronila,WIB Director,,1-707-565-4378
WDA_040,Southeast Los Angeles County Workforce Development Board (SELACO WDB),Yolanda Castro,Executive Director,,1-562-402-9336
WDA_041,Stanislaus County Workforce Development,Doris Foster,Director,,1-209-652-2458
WDA_042,Workforce Investment Board Tulare County,Jennie Bautista,Interim Executive Director,,1-559-713-5207
WDA_043,Workforce Development Board of Ventura County,Rebecca Evans,Executive Director,,1-805-477-8306
WDA_044,Verdugo Workforce Development Board,Judith Velasco,Executive Director,,1-818-937-8031
WDA_045,County of Yolo,Deanna Sverdlov,Health & Human Services Agency Employment Services Manager,,1-530-661-2289
